Lon,Lat,OBJECTID,Longitude,Latitude,FID,OBJECTID_1,OBJECTID_12,ID,City_Department,Capital_Project_Number,Capital_Asset_Name,Capital_Project_Title,ID1,Project_Description,Neighborhood,Project_Status,Operating_Impact,FY17_Projected_Expenditure,Total_Project_Budget,Project_Schedule,City_Council_District,Investment_Categorization
-71.07800937,42.31057994,179,-71.07800878,42.31057128,178,615,0,1419,Parks and Recreation Department,CPR24008,Children's park,Children's Park Playground,1419,"Playground and park renovation, including water spray, play structure and safety surfacing, site furnishings and plantings.",Roxbury,In Design,-1,620000,996000,Baseline Project,District 7,"Environment, Energy & Open Space"
-71.09608896,42.32273078,180,-71.09608836,42.32272212,179,617,0,1421,Parks and Recreation Department,CPR24010,Marcella Playground,Marcella Playground,1421,"Renovation including new play equipment, spray feature, court resurfacing, re-graded field and improved lighting, wall improvements, new fence and restoration of public art.",Roxbury,In Construction,-1,1100000,2160000,Baseline Project,District 7,"Environment, Energy & Open Space"
-71.07557754,42.32663422,181,-71.07557694,42.32662555,180,618,0,1423,Parks and Recreation Department,CPR24237,Dudley Town Square,Dudley Town Common,1423,"Improvements to Dudley Town Common to support the use of this neighborhood ""Common"" for gathering and civic uses.",Roxbury,To Be Scheduled,0,0,972000,Starting after FY17,District 7,"Environment, Energy & Open Space"
-71.05302401,42.34189769,182,-71.05302342,42.34188902,181,643,0,1465,Parks and Recreation Department,CPR24463,Flaherty Park,Flaherty Park,1465,"Renovation of park, including playlot, pathways, and passive areas.",South Boston,New Project,0,65000,715000,Initiating in FY17,District 2,"Environment, Energy & Open Space"
-71.07986561,42.34369728,183,-71.07986501,42.34368861,182,659,0,1503,Parks and Recreation Department,CPR24436,Titus Sparrow Park,Titus Sparrow Park,1503,"Improve the playground, tennis and basketball courts.",South End,New Project,0,0,1980000,Starting after FY17,District 7,"Environment, Energy & Open Space"
-71.07657379,42.38312646,184,-71.07657319,42.38311778,183,701,0,1007,Public Works Department,CPW20586,Cambridge Street Bridge,Cambridge Street Bridge,1007,Inspect bridge and perform repairs as needed.,Charlestown,To Be Scheduled,0,103000,253000,Initiating in FY17,District 1,Streets
-71.12289488,42.25193248,185,-71.12289427,42.25192383,184,705,0,1012,Public Works Department,CPW20098,Dana Avenue Bridge,Dana Avenue Bridge,1012,Design for bridge rehabilitation.,Hyde Park,In Design,0,0,860000,Starting after FY17,District 5,Streets
-71.11776266,42.31588558,186,-71.11776205,42.31587692,185,727,0,1063,Parks and Recreation Department,CPR23755,Jamaica Pond Boathoue,Jamaica Pond Dock Rehabilitation,1063,Design rehabilitation and repair of the boat docks.,Jamaica Plain,To Be Scheduled,0,132000,144000,Initiating in FY17,District 6,"Environment, Energy & Open Space"
-71.08912327,42.30126213,187,-71.08912267,42.30125347,186,728,0,1067,Parks and Recreation Department,CPR23082,William Devine Golf Course Clubhouse,William Devine Golf Course,1067,"Improve drainage, paving, and other miscellaneous items.",Roxbury,Annual Program,-1,200000,2061544,Near Baseline,District 7,"Environment, Energy & Open Space"
-71.06573538,42.3559095,188,-71.06573479,42.35590083,187,735,0,1087,Parks and Recreation Department,CPR23572,Frog Pond Pavillion,Frog Pond,1087,Study to evaluate the mechanical systems of the Frog Pond.,Beacon Hill,In Design,0,50000,150000,Near Baseline,District 8,"Environment, Energy & Open Space"
-71.15297647,42.35489454,189,-71.15297585,42.35488587,188,749,0,1261,Parks and Recreation Department,CPR24217,McKinney Playground,McKinney Playground Master Plan,1261,Develop a master plan for the park.,Allston/Brighton,To Be Scheduled,0,45000,50000,Initiating in FY17,District 9,"Environment, Energy & Open Space"
-71.0771959,42.34126488,190,-71.07719531,42.34125621,189,755,0,1500,Parks and Recreation Department,CPR24548,South End Library Park,South End Library Park,1500,Passive park renovation including pathways and landscape improvements.,South End,New Project,0,50000,150000,Initiating in FY17,District 7,"Environment, Energy & Open Space"
-71.05528861,42.35791562,191,-71.05528802,42.35790695,190,756,0,1544,Parks and Recreation Department,CPR22437,Liberty Tree Park,Liberty Tree,1544,Restoration of passive park including brick paving and other site improvements.,Chinatown,In Design,-1,71020,130000,Near Baseline,District 2,"Environment, Energy & Open Space"
-71.06124209,42.34125881,192,-71.0612415,42.34125014,191,761,170,235,Public Works Department,CPW23454,Central Maintenance,Central Maintenance Facility Complex,235,"Continued renovations to the building, garage and grounds.",South End,In Design,-1,0,14160673,Starting after FY17,District 2,Streets
-71.03423466,42.35049194,193,-71.03423408,42.35048327,192,763,0,1560,Boston Redevelopment Authority,CBR23785,"Drydock 4, BMIP",BMIP: Pier 5 / Drydock 4 Improvements,1560,Pier and drydock repairs.,South Boston,In Design,-1,655000,975000,Starting after FY17,District 2,Economic Development
-71.06595958,42.31598708,194,-71.06595899,42.31597842,193,764,378,591,Neighborhood Development,CND23934,Strand Theatre,Strand Theatre Upgrades,591,"Improve accessibility throughout the theatre, including the installation of an elevator; fire protection improvements.",Dorchester,In Design,-1,623509,3390000,Near Baseline,District 3,Arts and Culture
-71.05093765,42.33094831,195,-71.05093707,42.33093964,194,770,0,5023,Public Works Department,CPW23415,Old Colony Housing,Old Colony Housing Roadways,5023,Reconstruction of roadways in the redevelopment of the Old Colony housing development.,South Boston,In Construction,0,0,4165516,Baseline Project,District 2,Streets
-71.05680246,42.29356738,196,-71.05680188,42.29355872,195,1167,0,1566,Parks and Recreation Department,CPR23566,Adams/King Park,Adams/King Playground,1566,"Park renovation including drainage, fencing and wall repairs; new landscaping, play structure, and safety surfacing.",Dorchester,In Design,-1,166802,500000,Near Baseline,District 3,"Environment, Energy & Open Space"
-71.01672673,42.38369758,197,-71.01672615,42.3836889,196,1578,0,1580,Parks and Recreation Department,CPR23569,Cuneo Playground,Cuneo Playground,1580,"Major park renovation including drainage; fencing and wall repairs; and new landscaping, play structure, and safety surfacing.",East Boston,In Design,0,290000,320000,Near Baseline,District 1,"Environment, Energy & Open Space"
-71.10253011,42.34293242,198,-71.10252951,42.34292375,197,1585,0,1586,Parks and Recreation Department,CPR22681,Muddy River,Muddy River,1586,"Dredge main channel and restore habitat along the Muddy River.  Project will be implemented through the Army Corps of Engineers.  Additional project funding is provided by the Army Corps of Engineers, the Commonwealth, and the Town of Brookline.",Fenway/Kenmore,In Construction,-1,600000,89305642,Baseline Project,District 8,"Environment, Energy & Open Space"
-71.05886646,42.36014185,199,-71.05886587,42.36013318,198,1587,0,5033,Property and Construction Management,CPM24150,City Hall Plaza,City Hall Plaza Vertical Connection,5033,"Study options for making exterior staircase that leads from Congress Street to City Hall Plaza level more accessible.
",Government Center/Faneuil Hall,To Be Scheduled,0,100000,100000,Initiating in FY17,District 2,Operations
-71.05780409,42.36789164,200,-71.0578035,42.36788297,199,1988,0,532,School Department,CPS23699,Eliot School at 585 Commercial Street,Eliot School at 585 Commercial Street,532,"Renovate 585 Commercial Street office building, including building envelope, structural work, interior and site work, which will provide additional classrooms to support the Eliot School's expansion as a K to 8 school.",North End,In Design,-1,0,40450000,Baseline Project,District 1,Education
-71.13845564,42.29642036,201,-71.13845503,42.2964117,200,2388,0,1517,Parks and Recreation Department,CPR21491,Allandale Urban Wild,Urban Wilds Renovations,1517,"Renovation of walls, walkways, and signage within urban wilds owned by Environment and Parks Department.",West Roxbury,Annual Program,-1,241000,3269419,Baseline Project,District 6,"Environment, Energy & Open Space"
-71.09487425,42.34195219,202,-71.09487365,42.34194352,201,2789,0,1576,Parks and Recreation Department,CPR24007,Kelleher Rose Garden,Kelleher Rose Garden,1576,Perimeter restoration of historic rose garden.,Fenway/Kenmore,To Be Scheduled,0,45000,170000,Initiating in FY17,District 8,"Environment, Energy & Open Space"
-71.05671251,42.35461696,203,-71.05671192,42.35460829,202,2790,0,1159,Boston Redevelopment Authority,CBR23771,Winthrop Square Garage,Winthrop Square Garage,1159,Demolish the existing municipal parking garage.,Financial District/Downtown,To Be Scheduled,0,0,3500000,Starting after FY17,District 2,Economic Development
-71.0535122,42.36354223,204,-71.05351161,42.36353356,203,2791,0,1051,Parks and Recreation Department,CPR24009,Rachel Revere Square,Rachel Revere Square,1051,"General park refurbishment including furnishings, play area, plaza, and pathways. Work will be coordinated with nearby Public Works project.",North End,In Design,-1,185920,487000,Near Baseline,District 1,"Environment, Energy & Open Space"
-71.08574196,42.3288851,205,-71.08574136,42.32887644,204,2792,0,1253,Parks and Recreation Department,CPR24003,Judge Gourdin Park,Justice Gourdin Veterans' Memorial Park,1253,"Major park renovation including pathways, walls, plazas, ADA improvements, and landscaping.",Roxbury,In Design,-1,35000,152000,Near Baseline,District 7,"Environment, Energy & Open Space"
-71.05480661,42.36590318,206,-71.05480602,42.36589451,205,2793,0,533,School Department,CPS23644,Eliot at North Bennet St,Eliot School at North Bennet Street,533,Renovate North Bennet Street buildings which will provide additional classrooms to support the Eliot School's expansion as a K to 8 school.,North End,In Construction,-1,7530907,23018867,Baseline Project,District 1,Education
-71.09767409,42.29254887,207,-71.09767349,42.29254021,206,2794,0,1098,Public Works Department,CPW23576,Street Lighting Division - Canterbury Street,Street Lighting Division Facility,1098,Design and construct a new Street Lighting Division facility.,Mattapan,In Design,0,0,17000000,Near Baseline,District 4,Streets
-71.06253979,42.33965001,208,-71.0625392,42.33964134,207,2795,0,234,Transportation Department,CTD24146,300 Frontage Rd,300 Frontage Road Improvements,234,Interior and exterior renovations to accommodate Boston Transportation Department operations.,South Boston,In Design,0,347527,463807,Near Baseline,District 2,Streets
-71.04842238,42.35313192,209,-71.0484218,42.35312325,208,2796,0,1587,Parks and Recreation Department,CPR24420,Martin's Park,Martin's Park,1587,"Creation of major new park near Children's Museum. The project will include an accessible playground and passive areas. Install play equipment, safety surfacing, plantings, and site furnishings.",South Boston,New Project,0,1000000,7000000,Initiating in FY17,District 2,"Environment, Energy & Open Space"
-71.08990825,42.3439696,210,-71.08990765,42.34396093,209,2797,0,1591,Parks and Recreation Department,CPR24228,Back Bay Fens: Westland Avenue Entrance,Back Bay Fens Westland Avenue Entrance,1591,"Improvements to park entrance including Johnson Memorial Gates monument conservation, accessibility upgrades, and landscape rehabilitation.",Fenway/Kenmore,To Be Scheduled,0,100000,820000,Initiating in FY17,District 8,"Environment, Energy & Open Space"
-71.11885021,42.28491832,211,-71.11884961,42.28490966,210,2798,0,1592,Parks and Recreation Department,CPR24521,Mt. Hope Street Parcel,Mt. Hope Street Parcel,1592,Study and implement strategies that will transform the DND parcel into a park.,Roslindale,New Project,0,50000,50000,Initiating in FY17,District 4,"Environment, Energy & Open Space"
-71.12896757,42.24972344,212,-71.12896696,42.24971479,211,2800,0,1594,Parks and Recreation Department,CPR24233,Reservation Road Park,Reservation Road Park,1594,"Comprehensive park renovation to include skate park improvements, artificial turf replacement, site improvements, and landscaping.",Hyde Park,To Be Scheduled,0,410000,3960000,Initiating in FY17,District 5,"Environment, Energy & Open Space"
-71.12412158,42.26437208,213,-71.12412097,42.26436343,212,2801,0,1595,Parks and Recreation Department,CPR21491,Sherrin Street Woods,Urban Wilds Renovations,1595,"Renovation of walls, walkways, and signage within urban wilds owned by Environment and Parks Department.",Hyde Park,Annual Program,-1,75000,3269419,Baseline Project,District 5,"Environment, Energy & Open Space"
